#{"t_start": 1766930957.4524403, "env_id": "None"}
r,l,t
-1.0,20,1.17688
1.0,18,1.215605
-5.0,18,1.244049
5.0,18,1.291238
-5.0,20,1.332705
-4.0,21,1.377188
-4.0,18,1.414825
0.0,18,1.452115
3.0,20,1.493164
-2.0,18,1.52491
0.0,21,1.572087
-2.0,18,1.614436
-4.0,18,1.666473
2.0,18,2.287774
-1.0,18,2.325482
4.0,18,2.358273
-4.0,18,2.40104
2.0,21,2.444255
-2.0,20,2.4823
0.0,18,2.520334
-3.0,20,2.560231
3.0,21,2.608236
2.0,18,2.639261
-4.0,20,2.689141
-3.0,18,2.726242
3.0,18,2.766923
-2.0,18,2.796163
0.0,21,3.459571
-4.0,18,3.49877
3.0,18,3.538969
1.0,20,3.582661
4.0,18,3.62213
4.0,19,3.672132
1.0,20,3.712126
-4.0,18,3.756536
-4.0,20,3.796557
1.0,18,3.843445
-3.0,18,3.893239
2.0,18,3.932302
2.0,21,3.984781
-5.0,18,4.583763
4.0,20,4.632359
-4.0,18,4.673677
4.0,23,4.727191
1.0,21,4.773459
0.0,21,4.817804
1.0,18,4.859619
4.0,18,4.891579
-2.0,20,4.947695
-3.0,18,4.989391
6.0,18,5.031254
-1.0,18,5.078186
4.0,21,5.124369
-3.0,18,5.733047
-2.0,18,5.774652
-4.0,18,5.814521
0.0,23,5.867728
0.0,18,5.908164
-2.0,19,5.951719
5.0,18,5.996827
-4.0,18,6.061936
-3.0,20,6.117948
2.0,18,6.158071
0.0,22,6.202235
-3.0,18,6.238982
0.0,18,6.282445
4.0,18,6.322431
-1.0,18,6.889315
0.0,18,6.924078
0.0,20,6.968014
0.0,20,7.008112
0.0,18,7.051143
3.0,18,7.088135
-3.0,21,7.131964
-3.0,18,7.169134
0.0,18,7.200522
0.0,18,7.242526
-3.0,18,7.281248
-1.0,18,7.317933
-3.0,23,7.358256
-3.0,21,7.910083
-3.0,19,7.951969
-4.0,18,7.988993
1.0,18,8.025937
1.0,18,8.063512
2.0,18,8.091714
0.0,18,8.133273
3.0,20,8.172345
3.0,18,8.208017
-4.0,18,8.249925
4.0,18,8.289201
4.0,20,8.332006
-2.0,18,8.370616
-4.0,18,8.409728
0.0,18,8.949398
-4.0,18,8.986906
-1.0,20,9.032078
4.0,18,9.070235
0.0,21,9.10819
-2.0,18,9.149125
-1.0,22,9.191843
1.0,20,9.234461
-4.0,18,9.272486
-1.0,18,9.308467
-4.0,18,9.345488
2.0,18,9.387575
2.0,20,9.431235
-2.0,21,9.47213
5.0,18,10.025411
2.0,18,10.063171
3.0,21,10.102773
3.0,18,10.139248
-3.0,19,10.184371
0.0,18,10.217985
1.0,18,10.249463
-4.0,18,10.29153
-2.0,18,10.332326
4.0,21,10.372454
1.0,18,10.41245
2.0,21,10.456683
0.0,18,10.491587
0.0,18,11.037845
-4.0,20,11.082029
2.0,20,11.124093
3.0,18,11.158119
4.0,18,11.197049
0.0,21,11.239126
-2.0,18,11.275863
-2.0,18,11.312718
0.0,18,11.344582
-2.0,20,11.392726
0.0,20,11.436106
2.0,18,11.472452
3.0,19,11.513241
2.0,21,11.558301
4.0,20,12.098715
0.0,18,12.139722
-2.0,18,12.180804
3.0,21,12.222328
3.0,18,12.258112
-4.0,18,12.297336
-2.0,18,12.331954
0.0,18,12.367976
1.0,18,12.407086
0.0,21,12.453235
2.0,21,12.496988
-1.0,18,12.532056
4.0,20,12.572312
-2.0,18,13.122296
5.0,21,13.167818
5.0,18,13.20439
3.0,21,13.238966
-5.0,18,13.286628
4.0,25,13.339098
-4.0,18,13.381307
0.0,21,13.425408
4.0,18,13.45826
-4.0,18,13.501307
0.0,18,13.532782
0.0,18,13.572468
-1.0,22,13.618041
-2.0,18,14.158175
2.0,18,14.19959
-4.0,18,14.239263
4.0,22,14.284861
1.0,18,14.322262
-4.0,19,14.358261
2.0,18,14.400662
-4.0,18,14.440114
4.0,20,14.482253
-3.0,21,14.522075
1.0,18,14.561309
3.0,20,14.595952
2.0,19,14.643291
2.0,20,14.681924
0.0,21,15.24214
4.0,18,15.280424
2.0,18,15.317717
2.0,18,15.356693
-3.0,18,15.394084
-2.0,18,15.43325
-2.0,21,15.472142
-3.0,18,15.508032
1.0,20,15.548758
-2.0,18,15.59621
2.0,19,15.632245
2.0,18,15.670456
-1.0,18,15.708354
-4.0,18,16.248588
-1.0,18,16.289293
4.0,18,16.326018
4.0,21,16.367879
4.0,18,16.409253
2.0,18,16.448646
-5.0,18,16.485751
-3.0,18,16.517996
-2.0,18,16.560352
-4.0,20,16.596942
-4.0,18,16.632155
-1.0,24,16.686607
-3.0,18,16.724281
3.0,18,16.760295
3.0,18,17.301533
-2.0,18,17.343377
4.0,21,17.387279
4.0,18,17.426787
2.0,20,17.467823
-4.0,20,17.507999
4.0,18,17.549663
1.0,18,17.582237
-1.0,18,17.622762
6.0,21,17.660135
4.0,18,17.702134
1.0,21,17.748649
-2.0,18,17.787068
2.0,18,18.325997
2.0,18,18.363027
2.0,20,18.410439
0.0,18,18.451318
-2.0,18,18.486729
4.0,21,18.532006
-4.0,20,18.572272
-4.0,18,18.608342
-2.0,19,18.646259
-1.0,18,18.686361
1.0,18,18.724787
2.0,23,18.775837
-2.0,18,18.808362
-2.0,20,18.849017
5.0,20,19.396308
1.0,19,19.437236
2.0,18,19.472172
1.0,20,19.508214
